"Oturum ülkesi","Oturum bölgesi","Oturum şehri","Online mağaza ziyaretçileri","Oturumlar","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"Türkiye","Istanbul","Aksaray",11,11,0,0,,
"Germany","North Rhine-Westphalia","Witten",10,11,0,0,,
"Türkiye","Samsun","Bafra",10,11,0,0,,
"Türkiye","İzmir Province","Bayraklı",11,11,0,0,,
"United States","Colorado","Monte Vista",10,10,0,0,,
"Türkiye","Istanbul","Şişli",10,10,0,0,,
"Türkiye","Bursa Province","Nilufer",10,10,0,0,,
"Türkiye","Istanbul","Sultangazi",10,10,0,0,,
"United States","Nebraska","Springfield",10,10,0,0,,
"Austria","Upper Austria","Enns",2,10,0,0,,
"Türkiye","Istanbul","Pendik",7,10,0,0,,
"Türkiye","Balıkesir","Edremit",9,10,0,0,,
"Italy","Sicily","Palermo",8,10,0,0,,
"Türkiye","Istanbul","Zeytinburnu",9,10,0,0,,
"Austria","Upper Austria","Gallneukirchen",2,10,0,0,,
"United States","Oregon","Boardman",10,10,0,0,,
"Türkiye","Karaman","Karaman",9,10,0,0,,
"Germany","North Rhine-Westphalia","Wuppertal",9,9,0,0,,
"Türkiye","Sinop","Gerze",8,9,0,0,,
"Türkiye","Manisa","Salihli",9,9,0,0,,
"United States","Tennessee","Gallatin",9,9,0,0,,
"Türkiye","Trabzon","Yomra",7,9,0,0,,
"Türkiye","Muğla","Yatağan",7,9,0,0,,
"Saudi Arabia","Northern Borders Region","Arar",9,9,0,0,,
"Finland","Uusimaa","Helsinki",9,9,0,0,,
"Germany","North Rhine-Westphalia","Düsseldorf",8,9,0,0,,
"France","Île-de-France",,9,9,0,0,,
"Netherlands","South Holland","Rotterdam",7,8,0,0,,
"United Arab Emirates","Dubai","Dubai",7,8,0,0,,
"Türkiye","Erzurum","Ilıca",8,8,0,0,,
"Netherlands","North Holland","Haarlem",5,8,0,0,,
"Türkiye","Istanbul","Arnavutköy",8,8,0,0,,
"Türkiye","Rize Province","Çayeli",8,8,0,0,,
"Türkiye","Manisa",,8,8,0,0,,
"United States","Iowa","Altoona",8,8,0,0,,
"Türkiye","Kırklareli","Babaeski",8,8,0,0,,
"Türkiye","Aydın","Söke",7,8,0,0,,
"Türkiye","Afyonkarahisar Province","Dinar",8,8,0,0,,
"Türkiye","Siirt","Siirt",7,8,0,0,,
"Türkiye","Ankara","Keçiören",8,8,0,0,,
"United States","Texas","Fort Worth",8,8,0,0,,
"Türkiye","Kütahya","Çavdarhisar",6,7,0,0,,
"Türkiye","Sinop","Sinop",7,7,0,0,,
"Austria",,,7,7,0,0,,
"Türkiye","İzmir Province","Bergama",7,7,0,0,,
"Türkiye","Sinop","Boyabat",7,7,0,0,,
"Türkiye","Istanbul","Ümraniye",7,7,0,0,,
"North Macedonia",,"Skopje",7,7,0,0,,
"United States","New York","New York",7,7,0,0,,
"Brazil","São Paulo","São Paulo",7,7,0,0,,
"Türkiye","Manisa","Alaşehir",7,7,0,0,,
"Germany","Hesse","Dreieich",5,7,0,0,,
"Saudi Arabia","Eastern Province","Dammam",2,6,0,0,,
"Australia","Victoria","Melbourne",6,6,0,0,,
"Türkiye","Istanbul","Beylikduzu",2,6,0,0,,
"Türkiye","Bursa Province","Karacabey",3,6,0,0,,
"Germany","Baden-Wurttemberg","Stuttgart",6,6,0,0,,
"Türkiye","Bingöl","Bingöl",6,6,0,0,,
"Türkiye","Sakarya","Kocaali",5,6,0,0,,
"Germany","North Rhine-Westphalia","Essen",6,6,0,0,,
"Sweden","Stockholm County","Stockholm",4,6,0,0,,
"Germany",,,6,6,0,0,,
"Türkiye","Mersin","Toroslar",6,6,0,0,,
"Türkiye","Yalova","Çiftlikköy",6,6,0,0,,
"Saudi Arabia","Mecca Region","Ta'if",4,6,0,0,,
"Türkiye","Istanbul","Umraniye",6,6,0,0,,
"Türkiye","Bursa Province","Mudanya",5,6,0,0,,
"United States","Georgia","Atlanta",6,6,0,0,,
"Türkiye","Istanbul","Bağcılar",6,6,0,0,,
"Türkiye","Karaman","Ermenek",6,6,0,0,,
"Türkiye","Bursa Province","Nicaea",5,5,0,0,,
"Türkiye","Bilecik","Kızıltepe",5,5,0,0,,
"Türkiye","Rize Province","Ardeşen",4,5,0,0,,
"Serbia","Belgrade","Belgrade",5,5,0,0,,
"Türkiye","Ankara","Pursaklar",5,5,0,0,,
"Türkiye","Şırnak","Silopi",5,5,0,0,,
"Canada","Ontario","Toronto",5,5,0,0,,
"United States","New York","Orangeburg",1,5,0,0,,
"Belgium","Flanders","Antwerp",5,5,0,0,,
"Türkiye","Rize Province","Fındıklı",5,5,0,0,,
"India","Rajasthan","Jaipur",4,5,0,0,,
"Türkiye","Edirne","Zorlanae",5,5,0,0,,
"Türkiye","Burdur","Bucak",5,5,0,0,,
"Türkiye","Kahramanmaraş","Elbistan",5,5,0,0,,
"Kuwait","Al Asimah","Kuwait City",3,5,0,0,,
"Türkiye","Ağrı","Doğubeyazıt",5,5,0,0,,
"Türkiye","Tokat Province","Pazar",5,5,0,0,,
"Türkiye","Ankara","Maltepe",5,5,0,0,,
"Türkiye","Antalya","Yeşiltepe",4,5,0,0,,
"Saudi Arabia","Mecca Region","Makkah",5,5,0,0,,
"Türkiye","Konya","Çumra",5,5,0,0,,
"Libya",,,5,5,0,0,,
"United States","South Carolina","Charleston",5,5,0,0,,
"Türkiye","Kilis","Kilis",4,4,0,0,,
"Germany","Baden-Wurttemberg","Mannheim",4,4,0,0,,
"Belgium",,,4,4,0,0,,
"United States","California","Los Angeles",4,4,0,0,,
"Türkiye","Tekirdağ","Saray",4,4,0,0,,
"Türkiye","Bartın","Amasra",3,4,0,0,,
"United States","North Carolina","Forest City",4,4,0,0,,
"Türkiye","Muğla","Bodrum",4,4,0,0,,
"Netherlands","Groningen","Groningen",1,4,0,0,,
"Romania","București","Bucharest",4,4,0,0,,
"Türkiye","Bursa Province","Osmangazi",4,4,0,0,,
"Türkiye","Adana","Kozan",4,4,0,0,,
"Seychelles",,,4,4,0,0,,
"Egypt","Cairo Governorate","Cairo",4,4,0,0,,
"Germany","Lower Saxony","Hanover",4,4,0,0,,
"Belgium","Flanders","Ghent",4,4,0,0,,
"United Arab Emirates",,,2,4,0,0,,
"Türkiye","Aksaray","Gülağaç",4,4,0,0,,
"Germany","Hamburg","Hamburg",4,4,0,0,,
"Türkiye","Amasya","Merzifon",4,4,0,0,,
"Montenegro","Podgorica","Podgorica",2,4,0,0,,
"Türkiye","Trabzon","Akçaabat",4,4,0,0,,
"Türkiye","Mersin","Çankaya",3,4,0,0,,
"Türkiye","Istanbul","Bahçeşehir",4,4,0,0,,
"United Kingdom","England","Poplar",4,4,0,0,,
"Türkiye","Mersin","Tarsus",4,4,0,0,,
"Türkiye","Istanbul","Fatih",4,4,0,0,,
"France","Grand Est","Strasbourg",3,4,0,0,,
"Türkiye","Antalya","Kemer",4,4,0,0,,
"Türkiye","Giresun","Görele",4,4,0,0,,
"Türkiye","Hatay","Erzin",4,4,0,0,,
"United Kingdom","England","Wandsworth",3,4,0,0,,
"Türkiye","Hakkâri","Hakkâri",4,4,0,0,,
"Türkiye","Mardin","Kızıltepe",3,3,0,0,,
"Türkiye","Kütahya","Gediz",3,3,0,0,,
"Türkiye","Manisa","Kula",3,3,0,0,,
"Ghana","Greater Accra Region","Accra",3,3,0,0,,
"Austria","Tyrol","Innsbruck",3,3,0,0,,
"France","Rhône-Alpes","Lyon",3,3,0,0,,
"Türkiye","Samsun","Ilkadim",3,3,0,0,,
"Germany","Baden-Wurttemberg","Reutlingen",3,3,0,0,,
"Türkiye","Şanlıurfa","Birecik",3,3,0,0,,
"Türkiye","Nevşehir Province","Derinkuyu",3,3,0,0,,
"Morocco","Casablanca-Settat","Casablanca",2,3,0,0,,
"Jordan","Amman Governorate","Amman",3,3,0,0,,
"Türkiye","Şanlıurfa","Ceylanpınar",3,3,0,0,,
"United States","New Jersey","Secaucus",3,3,0,0,,
"Türkiye","Hatay","Sincan",3,3,0,0,,
"United States","California","Santa Clara",3,3,0,0,,
"Türkiye","Artvin","Yusufeli",3,3,0,0,,
"Albania",,,3,3,0,0,,
"Germany","Baden-Wurttemberg","Heilbronn",3,3,0,0,,
"Brunei","Brunei-Muara District","Bandar Seri Begawan",1,3,0,0,,
"Canada","Quebec","Montreal",3,3,0,0,,
"Spain","Madrid","Madrid",3,3,0,0,,
"United States","Oregon","The Dalles",3,3,0,0,,
"Türkiye","Tunceli","Tunceli",3,3,0,0,,
"Ireland","Leinster","Dublin",3,3,0,0,,
"Türkiye","Hatay","Reyhanlı",3,3,0,0,,
